,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID,email,gender,dob.age
14766,Kittitas,Ellensburg,98926,2018,NISSAN,LEAF,151,13.0,POINT (-120.54872 46.99703),PUGET SOUND ENERGY INC,BEV,Y,Mid,guarani.martins@example.com,guarani.martins@example.com,male,51
14767,Clark,Ridgefield,98642,2014,NISSAN,LEAF,84,18.0,POINT (-122.74595 45.81539),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Low,mia.douglas@example.com,mia.douglas@example.com,female,50
14768,Adams,Othello,99344,2017,TESLA,MODEL X,200,9.0,POINT (-119.1742 46.82616),"BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||BIG BEND ELECTRIC COOP, INC",BEV,Y,Mid,arn.aaseth@example.com,arn.aaseth@example.com,male,46
14769,Kitsap,Port Orchard,98366,2012,NISSAN,LEAF,73,26.0,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,BEV,Y,Low,divya.mugeraya@example.com,divya.mugeraya@example.com,female,61
14770,Island,Oak Harbor,98277,2022,CHRYSLER,PACIFICA,32,10.0,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,PHEV,Y,Low,supritha.shayana@example.com,supritha.shayana@example.com,female,26
14771,King,Kirkland,98034,2022,VOLVO,XC90,35,1.0,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,theo.coleman@example.com,theo.coleman@example.com,male,23
14772,King,Seattle,98101,2020,TESLA,MODEL S,330,36.0,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,High,avery.mackay@example.com,avery.mackay@example.com,female,51
14773,San Juan,Lopez Island,98261,2013,TESLA,MODEL S,208,40.0,POINT (-122.91395 48.52342),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,BEV,Y,Mid,hans-hinrich.weiss@example.com,hans-hinrich.weiss@example.com,male,59
14774,Kitsap,Suquamish,98392,2015,NISSAN,LEAF,84,23.0,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,BEV,Y,Low,silvia.miranda@example.com,silvia.miranda@example.com,female,47
14775,Pierce,Lake Tapps,98391,2015,FIAT,500,87,31.0,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,fatih.kaplangi@example.com,fatih.kaplangi@example.com,male,59
14776,Okanogan,Winthrop,98862,2020,TESLA,MODEL S,330,12.0,POINT (-120.17739 48.47396),"OKANOGAN COUNTY ELEC COOP, INC",BEV,Y,High,sarah.li@example.com,sarah.li@example.com,female,60
14777,Pierce,Parkland,98446,2022,KIA,SORENTO,32,25.0,POINT (-122.37571 47.16104),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,PHEV,Y,Low,ftmhzhr.jaafry@example.com,ftmhzhr.jaafry@example.com,female,45
14778,King,Seattle,98116,2019,FORD,FUSION,26,34.0,POINT (-122.41067 47.57894),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,romain.laurent@example.com,romain.laurent@example.com,male,38
14779,Island,Clinton,98236,2020,MITSUBISHI,OUTLANDER,22,10.0,POINT (-122.35803 47.9796),PUGET SOUND ENERGY INC,PHEV,N,Low,therese.euler@example.com,therese.euler@example.com,female,49
14780,Jefferson,Port Townsend,98368,2022,MITSUBISHI,OUTLANDER,24,24.0,POINT (-122.77263 48.1212),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,PHEV,N,Low,anyt.sltnynjd@example.com,anyt.sltnynjd@example.com,female,67
14781,Thurston,Yelm,98597,2018,CHRYSLER,PACIFICA,33,20.0,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,PHEV,Y,Low,vidaul.barbosa@example.com,vidaul.barbosa@example.com,male,51
14782,King,Normandy Park,98198,2012,NISSAN,LEAF,73,33.0,POINT (-122.29592 47.40139),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,nayden.shchurenko@example.com,nayden.shchurenko@example.com,male,47
14783,Lewis,Centralia,98531,2018,TESLA,MODEL S,249,20.0,POINT (-122.95298 46.72894),BONNEVILLE POWER ADMINISTRATION||CITY OF CENTRALIA - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,harish.moolya@example.com,harish.moolya@example.com,male,73
14784,Clark,Washougal,98671,2021,AUDI,E-TRON,222,14.0,POINT (-122.35341 45.57923),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Mid,alois.meunier@example.com,alois.meunier@example.com,male,66
14785,Pierce,South Hill,98374,2019,KIA,NIRO,239,25.0,POINT (-122.28449 47.146),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,almuth.nass@example.com,almuth.nass@example.com,female,74
14786,King,Vashon,98070,2020,TESLA,MODEL S,330,34.0,POINT (-122.4573 47.44929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,emilia.rubio@example.com,emilia.rubio@example.com,female,38
14787,King,Burien,98166,2017,FIAT,500,84,34.0,POINT (-122.34118 47.46665),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,art.lucas@example.com,art.lucas@example.com,male,76
14788,Benton,Kennewick,99338,2019,PORSCHE,CAYENNE,13,16.0,POINT (-119.3118 46.20664),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,PHEV,N,Low,sryn.aalyzdh@example.com,sryn.aalyzdh@example.com,female,74
14789,Benton,Kennewick,99338,2019,PORSCHE,CAYENNE,13,16.0,POINT (-119.3118 46.20664),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,PHEV,N,Low,sryn.aalyzdh@example.com,sryn.aalyzdh@example.com,female,29
14790,King,Renton,98056,2016,PORSCHE,CAYENNE,14,41.0,POINT (-122.18463 47.49929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,mila.bakic@example.com,mila.bakic@example.com,female,39
14791,Snohomish,Lake Stevens,98258,2017,KIA,SOUL EV,93,44.0,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,BEV,Y,Low,charles.gonzalez@example.com,charles.gonzalez@example.com,male,23
14792,Snohomish,Sultan,98294,2020,CHEVROLET,BOLT EV,259,39.0,POINT (-121.81688 47.8623),PUGET SOUND ENERGY INC,BEV,Y,High,miloje.filipovic@example.com,miloje.filipovic@example.com,male,30
14793,King,Duvall,98019,2022,TOYOTA,RAV4 PRIME,42,45.0,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,victor.moller@example.com,victor.moller@example.com,male,74
14794,King,Enumclaw,98022,2013,NISSAN,LEAF,75,5.0,POINT (-121.99136 47.20433),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,logan.mitchell@example.com,logan.mitchell@example.com,male,24
14795,Spokane,Elk,99009,2018,TESLA,MODEL 3,215,7.0,POINT (-117.27816 48.01723),BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,BEV,Y,Mid,mia.simpson@example.com,mia.simpson@example.com,female,66
14796,Benton,Kennewick,99338,2019,CHEVROLET,BOLT EV,238,8.0,POINT (-119.3118 46.20664),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,BEV,Y,Mid,victoria.tremblay@example.com,victoria.tremblay@example.com,female,72
14797,Clallam,Port Angeles,98362,2017,CHRYSLER,PACIFICA,33,24.0,POINT (-123.4313 48.11872),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,PHEV,Y,Low,leanne.ambrose@example.com,leanne.ambrose@example.com,female,33
14798,Franklin,Pasco,99301,2020,TESLA,MODEL 3,266,16.0,POINT (-119.09467 46.23542),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,BEV,Y,High,margherita.dumont@example.com,margherita.dumont@example.com,female,21
14799,King,Federal Way,98023,2018,PORSCHE,CAYENNE,14,30.0,POINT (-122.35206 47.30297),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,jamie.dunn@example.com,jamie.dunn@example.com,female,46
14800,Jefferson,Chimacum,98325,2018,NISSAN,LEAF,151,24.0,POINT (-122.77295 48.01182),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,BEV,Y,Mid,francisca.gomez@example.com,francisca.gomez@example.com,female,30
14801,Benton,Kennewick,99336,2014,FORD,C-MAX,19,8.0,POINT (-119.11698 46.20804),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,PHEV,N,Low,melina.guerin@example.com,melina.guerin@example.com,female,67
14802,King,Seattle,98144,2022,CHRYSLER,PACIFICA,32,37.0,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,rosaria.perrin@example.com,rosaria.perrin@example.com,female,77
14803,Clark,Vancouver,98662,2019,FORD,FUSION,26,17.0,POINT (-122.57722 45.64251),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,philip.sorensen@example.com,philip.sorensen@example.com,male,44
14804,Pierce,Tacoma,98404,2019,JAGUAR,I-PACE,234,27.0,POINT (-122.41249 47.21584),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,dariya.mazur@example.com,dariya.mazur@example.com,female,21
14805,Skagit,Burlington,98233,2015,FORD,FUSION,19,40.0,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,PHEV,N,Low,abelardo.lima@example.com,abelardo.lima@example.com,male,40
14806,King,Duvall,98019,2015,BMW,I3,72,45.0,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,lucien.arnaud@example.com,lucien.arnaud@example.com,male,54
14807,Kitsap,Suquamish,98392,2016,KIA,SOUL,93,23.0,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,BEV,Y,Low,marco.casares@example.com,marco.casares@example.com,male,34
14808,King,Mercer Island,98040,2022,HYUNDAI,TUCSON,33,41.0,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,firmina.gomes@example.com,firmina.gomes@example.com,female,26
14809,Thurston,Rainier,98576,2022,JEEP,WRANGLER,21,2.0,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,PHEV,N,Low,luzio.campos@example.com,luzio.campos@example.com,male,45
14810,San Juan,Eastsound,98245,2016,FORD,C-MAX,19,40.0,POINT (-122.91109 48.69389),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,PHEV,N,Low,anna.turner@example.com,anna.turner@example.com,female,70
14811,Clark,Vancouver,98664,2016,FORD,FUSION,19,49.0,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,nayden.shchurenko@example.com,nayden.shchurenko@example.com,male,47
14812,Okanogan,Omak,98841,2013,FORD,C-MAX,19,12.0,POINT (-119.52724 48.41078),PUD NO 1 OF OKANOGAN COUNTY,PHEV,N,Low,benjamin.christiansen@example.com,benjamin.christiansen@example.com,male,75
14813,King,Seattle,98119,2018,MINI,COUNTRYMAN,12,36.0,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,sangeetha.mugeraya@example.com,sangeetha.mugeraya@example.com,female,61
14814,Spokane,Liberty Lake,99019,2014,CHEVROLET,VOLT,38,4.0,POINT (-117.1015 47.66829),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,selma.araujo@example.com,selma.araujo@example.com,female,40
14815,King,Snoqualmie,98065,2013,FORD,C-MAX,19,5.0,POINT (-121.82432 47.52716),CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,PHEV,N,Low,molly.perez@example.com,molly.perez@example.com,female,66
14816,Snohomish,Edmonds,98020,2019,HYUNDAI,IONIQ,29,32.0,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,PHEV,N,Low,emily.herrera@example.com,emily.herrera@example.com,female,31
14817,King,Renton,98058,2017,BMW,I3,97,47.0,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,mhdy.mhmdkhn@example.com,mhdy.mhmdkhn@example.com,male,73
14818,King,Yarrow Point,98004,2019,BMW,530E,15,48.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,emile.marie@example.com,emile.marie@example.com,male,69
14819,Pierce,University Place,98467,2021,JEEP,WRANGLER,21,28.0,POINT (-122.53691 47.20606),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,louka.martinez@example.com,louka.martinez@example.com,male,71
14820,Snohomish,Granite Falls,98252,2018,KIA,NIRO,26,39.0,POINT (-121.96931 48.08157),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,PHEV,N,Low,lucy.woods@example.com,lucy.woods@example.com,female,26
14821,Jefferson,Port Townsend,98368,2022,VOLVO,XC60,18,24.0,POINT (-122.77263 48.1212),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,PHEV,N,Low,caroline.sorensen@example.com,caroline.sorensen@example.com,female,74
14822,Thurston,Olympia,98502,2013,TESLA,MODEL S,208,22.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,BEV,Y,Mid,adele.leroy@example.com,adele.leroy@example.com,female,54
14823,Grant,Moses Lake,98837,2016,TESLA,MODEL X,200,13.0,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,BEV,Y,Mid,gladis.souza@example.com,gladis.souza@example.com,female,55
14824,King,Clyde Hill,98004,2018,TOYOTA,PRIUS PRIME,25,48.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,sophie.walker@example.com,sophie.walker@example.com,female,63
14825,Whatcom,Nooksack,98276,2018,TESLA,MODEL 3,215,42.0,POINT (-122.32181 48.92857),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,BEV,Y,Mid,romain.moreau@example.com,romain.moreau@example.com,male,75
14826,Jefferson,Port Townsend,98368,2020,TESLA,MODEL S,330,24.0,POINT (-122.77263 48.1212),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,BEV,Y,High,travis.hudson@example.com,travis.hudson@example.com,male,26
14827,King,Seattle,98102,2018,HONDA,CLARITY,47,43.0,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,johan.legrand@example.com,johan.legrand@example.com,male,68
14828,King,Fall City,98024,2013,FORD,FUSION,19,5.0,POINT (-121.89086 47.56812),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,ege.abanuz@example.com,ege.abanuz@example.com,female,39
14829,King,Seattle,98104,2019,NISSAN,LEAF,150,37.0,POINT (-122.32945 47.60357),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,armando.amador@example.com,armando.amador@example.com,male,27
14830,King,Snoqualmie,98065,2021,BMW,530E,18,5.0,POINT (-121.82432 47.52716),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,aidan.morris@example.com,aidan.morris@example.com,male,25
14831,San Juan,Eastsound,98245,2021,MINI,HARDTOP,110,40.0,POINT (-122.91109 48.69389),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,BEV,Y,Mid,christina.willis@example.com,christina.willis@example.com,female,33
14832,Whatcom,Bellingham,98225,2022,VOLVO,XC90,18,42.0,POINT (-122.47122 48.75235),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,kubra.sayginer@example.com,kubra.sayginer@example.com,female,48
14833,Yakima,Yakima,98902,2020,CHEVROLET,BOLT EV,259,14.0,POINT (-120.52301 46.60138),PACIFICORP,BEV,Y,High,jason.berry@example.com,jason.berry@example.com,male,25
14834,King,Seatac,98188,2018,BMW,X5,13,33.0,POINT (-122.28879 47.44538),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,reynaldo.chavarria@example.com,reynaldo.chavarria@example.com,male,24
14835,King,Woodinville,98072,2021,FORD,ESCAPE,38,45.0,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,aiden.campbell@example.com,aiden.campbell@example.com,male,34
14836,King,Renton,98055,2016,FORD,FUSION,19,11.0,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,curtis.mills@example.com,curtis.mills@example.com,male,29
14837,Snohomish,Bothell,98012,2022,VOLVO,XC60,35,21.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,PHEV,Y,Low,oceane.bonnet@example.com,oceane.bonnet@example.com,female,65
14838,Snohomish,Sultan,98294,2017,CHEVROLET,BOLT EV,238,39.0,POINT (-121.81688 47.8623),PUGET SOUND ENERGY INC,BEV,Y,Mid,rasmus.nielsen@example.com,rasmus.nielsen@example.com,male,74
14839,Spokane,Medical Lake,99022,2019,TESLA,MODEL 3,220,7.0,POINT (-117.68269 47.57261),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,BEV,Y,Mid,daphne.bonnet@example.com,daphne.bonnet@example.com,female,65
14840,Kitsap,Olalla,98359,2017,CADILLAC,CT6,31,26.0,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,PHEV,Y,Low,simon.andersen@example.com,simon.andersen@example.com,male,27
14841,Douglas,East Wenatchee,98802,2021,AUDI,Q5 E,18,12.0,POINT (-120.29473 47.41515),PUD NO 1 OF DOUGLAS COUNTY,PHEV,N,Low,myraaly.slry@example.com,myraaly.slry@example.com,male,24
14842,Snohomish,Woodway,98020,2017,BMW,I3,81,32.0,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,BEV,Y,Low,emma.tikkanen@example.com,emma.tikkanen@example.com,female,69
14843,Thurston,Olympia,98516,2020,KIA,NIRO,239,22.0,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,BEV,Y,Mid,dmitri.hummel@example.com,dmitri.hummel@example.com,male,27
14844,King,Bellevue,98008,2017,BMW,330E,14,48.0,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,charles.joly@example.com,charles.joly@example.com,male,68
14845,Pierce,Gig Harbor,98335,2019,FORD,FUSION,26,26.0,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,josefine.pedersen@example.com,josefine.pedersen@example.com,female,41
14846,Snohomish,Mukilteo,98275,2020,JAGUAR,I-PACE,234,21.0,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,BEV,Y,Mid,aleksi.karvonen@example.com,aleksi.karvonen@example.com,male,57
14847,San Juan,Eastsound,98245,2019,FORD,FUSION,26,40.0,POINT (-122.91109 48.69389),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,PHEV,N,Low,eduardo.hoffman@example.com,eduardo.hoffman@example.com,male,48
14848,Pierce,Parkland,98446,2015,CHEVROLET,VOLT,38,29.0,POINT (-122.37571 47.16104),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,PHEV,Y,Low,david.white@example.com,david.white@example.com,male,55
14849,Lewis,Toledo,98591,2020,CHRYSLER,PACIFICA,32,20.0,POINT (-122.84784 46.44067),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,PHEV,Y,Low,murat.sozeri@example.com,murat.sozeri@example.com,male,22
14850,Pierce,Tacoma,98402,2021,VOLVO,S60,22,27.0,POINT (-122.44164 47.25517),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,mirko.silic@example.com,mirko.silic@example.com,male,24
14851,King,Carnation,98014,2016,KIA,SOUL,93,5.0,POINT (-121.91353 47.64901),CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,BEV,Y,Low,kaya.sarioglu@example.com,kaya.sarioglu@example.com,male,69
14852,Snohomish,Snohomish,98296,2019,JAGUAR,I-PACE,234,1.0,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,BEV,Y,Mid,jose.colin@example.com,jose.colin@example.com,male,56
14853,Pierce,Roy,98580,2013,SMART,FORTWO ELECTRIC DRIVE,68,2.0,POINT (-122.54332 47.00328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Low,natalka.rizenki@example.com,natalka.rizenki@example.com,female,64
14854,Chelan,Leavenworth,98826,2018,PORSCHE,CAYENNE,14,12.0,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,PHEV,N,Low,ladomila.bryuhoveckiy@example.com,ladomila.bryuhoveckiy@example.com,female,38
14855,Spokane,Spokane,99202,2018,FIAT,500,84,3.0,POINT (-117.3797 47.65548),MODERN ELECTRIC WATER COMPANY,BEV,Y,Low,lucie.caron@example.com,lucie.caron@example.com,female,36
14856,King,Renton,98055,2018,BMW,530E,16,11.0,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,darren.bennett@example.com,darren.bennett@example.com,male,23
14857,King,Seattle,98117,2018,VOLVO,XC60,17,36.0,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,justine.arnaud@example.com,justine.arnaud@example.com,female,59
14858,Thurston,Olympia,98513,2020,KIA,NIRO,239,22.0,POINT (-122.80277 46.99409),PUGET SOUND ENERGY INC,BEV,Y,Mid,janette.hunger@example.com,janette.hunger@example.com,female,54
14859,Pierce,Tacoma,98403,2011,CHEVROLET,VOLT,35,27.0,POINT (-122.45691 47.26496),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,dnyl.hmdy@example.com,dnyl.hmdy@example.com,male,47
14860,Whatcom,Bellingham,98226,2016,FORD,C-MAX,19,40.0,POINT (-122.49756 48.7999),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,anmol.bansal@example.com,anmol.bansal@example.com,male,71
14861,Skagit,Burlington,98233,2014,FORD,C-MAX,19,40.0,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,PHEV,N,Low,christina.lembke@example.com,christina.lembke@example.com,female,44
14862,Spokane,Spokane,99223,2020,TESLA,MODEL 3,308,3.0,POINT (-117.36043 47.63396),MODERN ELECTRIC WATER COMPANY,BEV,Y,High,brooke.hughes@example.com,brooke.hughes@example.com,female,50
14863,Spokane,Spokane,99223,2020,TESLA,MODEL 3,308,3.0,POINT (-117.36043 47.63396),MODERN ELECTRIC WATER COMPANY,BEV,Y,High,brooke.hughes@example.com,brooke.hughes@example.com,female,35
14864,King,Auburn,98001,2017,CHEVROLET,BOLT EV,238,47.0,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,john.roberts@example.com,john.roberts@example.com,male,44
14865,King,Seattle,98115,2020,HONDA,CLARITY,47,43.0,POINT (-122.31765 47.70013),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,joshua.edwards@example.com,joshua.edwards@example.com,male,72
14866,King,Kirkland,98033,2022,VOLVO,XC60,18,48.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,melania.stojakovic@example.com,melania.stojakovic@example.com,female,44
14867,Thurston,Centralia,98531,2021,TOYOTA,RAV4 PRIME,42,20.0,POINT (-122.95298 46.72894),PUGET SOUND ENERGY INC,PHEV,Y,Low,nicole.fletcher@example.com,nicole.fletcher@example.com,female,27
14868,Mason,Shelton,98584,2016,VOLVO,XC90,13,35.0,POINT (-123.10565 47.21248),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,PHEV,N,Low,lyn.aalyzdh@example.com,lyn.aalyzdh@example.com,female,77
14869,King,Seattle,98118,2018,BMW,X5,13,37.0,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,alicia.montgomery@example.com,alicia.montgomery@example.com,female,64
14870,Walla Walla,Walla Walla,99362,2018,TESLA,MODEL S,249,16.0,POINT (-118.34261 46.07068),PACIFICORP,BEV,Y,Mid,andrea.termors@example.com,andrea.termors@example.com,male,44
14871,Spokane,Colbert,99005,2012,TOYOTA,RAV4,103,4.0,POINT (-117.35414 47.83743),BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,BEV,Y,Mid,pimen.dunec@example.com,pimen.dunec@example.com,male,32
14872,Spokane,Spokane,99218,2014,CHEVROLET,VOLT,38,6.0,POINT (-117.4077 47.74527),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,selma.hansen@example.com,selma.hansen@example.com,female,21
14873,King,Renton,98059,2021,JEEP,WRANGLER,21,11.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,ruben.guerrero@example.com,ruben.guerrero@example.com,male,66
14874,Snohomish,Bothell,98012,2016,KIA,SOUL,93,21.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,BEV,Y,Low,angelina.dufour@example.com,angelina.dufour@example.com,female,50
14875,Thurston,Olympia,98502,2019,VOLKSWAGEN,E-GOLF,125,22.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,BEV,Y,Mid,franck.perrin@example.com,franck.perrin@example.com,male,73
14876,Mason,Allyn,98524,2016,TESLA,MODEL X,200,35.0,POINT (-122.82983 47.38174),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,BEV,Y,Mid,alicja.volkel@example.com,alicja.volkel@example.com,female,53
14877,Clark,Vancouver,98665,2017,TESLA,MODEL 3,220,49.0,POINT (-122.64443 45.67871),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Mid,millie.roberts@example.com,millie.roberts@example.com,female,45
